 ,,,Gender
Umetaro Azechi,,,Male
Kengiro Azuma,,,Male
Johannes Baader,,,Male
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),,,Male
Kurt W. Baasch,,,Male
Alice Baber,,,Female
Bacard Fils,,,Male
Edmondo Bacci,,,Male
Elvira Bach,,,Female
Olof Backman,,,Male
Olof Backstrom,,,Male
Francis Bacon,,,Male
Peggy Bacon,,,Female
Karl Baden,,,Male
Mowry Thatcher Baden,,,Male
Aquiles Badi,,,Male
Libero Badii,,,Male
Frank Badur,,,Male
Donald Baechler,,,Male
Jo Baer,,,Female
Martin Baer,,,Male
Olle Baertling,,,Male
Myrna Báez,,,Female
John Bageris,,,Male
Heinz Bahr,,,Male
Malcolm Bailey,,,Male
Oscar Bailey,,,Male
William Bailey,,,Male
Larry Bair,,,Male
Eugenie Baizerman,,,Female
Enrico Baj,,,Male
Carl Baker,,,Male
Mikal Baker,,,Male
Vagrich Bakhchanyan,,,Male
Gerhard H. Bakker,,,Male
Léon Bakst,,,Male
Gerard Baksteen,,,Male
Amèrico Balán,,,Male
Jirí Balcar,,,Male
John Baldessari,,,Male
George Baldessin,,,Male
C. Leroy Baldridge,,,Male
Édouard-Denis Baldus,,,Male
Benjamin Baldwin,,,Male
Joost Baljeu,,,Male
Giacomo Balla,,,Male
R. Maxil Ballinger,,,Male
Theo H. Ballmer,,,Male
Alexander Bally,,,Male
John F. Balossi,,,Male
Balthus (Baltusz Klossowski de Rola),,,Male
Lewis Baltz,,,Male
Thomas Bamberger,,,Male
McDonald (Mackey Jeffries) Bane,,,Female
Colette Bangert,,,Female
Walter Darby Bannard,,,Male
John Banting,,,Male
Rudolf Baranik,,,Male
Vladimir Baranoff-Rossiné,,,Male
Anthony Barboza,,,Male
Miquel Barcelo,,,Male
Peter Bardazzi,,,Male
Jules-Jean-Antoine Baric,,,Male
Richard Baringer,,,Male
George Barker,,,Male
Walter William Barker,,,Male
Ernst Barlach,,,Male
George N. Barnard,,,Male
Cyril H. Barnes,,,Male
Matthew Rackham Barnes,,,Male
Robert Barnes,,,Male
Will Barnet,,,Male
Tina Barney,,,Female
Hannelore Baron,,,Female
Martin Barooshian,,,Male
Steve Barraclough,,,Male
Maurice Barraud,,,Male
Susan Barron,,,Female
Thomas F. Barrow,,,Male
David Francis Barry,,,Male
Robert Barry,,,Male
Robert Bart,,,Male
Frances Barth,,,Female
Ruodi Barth,,,Male
"Ralph Bartholomew, Jr.",,,Male
Jennifer Bartlett,,,Female
Robert Bartlett,,,Male
Carlo Bartoli,,,Male
Luigi Bartolini,,,Male
Joseph Bartscherer,,,Male
Gianfranco Baruchello,,,Male
Héctor Basaldua,,,Male
Bernard Baschet,,,Male
François Baschet,,,Male
Georg Baselitz,,,Male
Mati Basis,,,Male
Leonard Baskin,,,Male
Jean-Michel Basquiat,,,Male
Joel Bass,,,Male
Saul Bass,,,Male
Giampiero Bassi,,,
Myriam Bat-Yosef,,,Female
Georges Bataille,,,Male
Josef Bato,,,Male
John Battan,,,Male
Wall Batterton,,,Male
Dora M. Batty,,,Female
Eugen Batz,,,Male
"Harry W. Batz, Jr.",,,Male
André Bauchant,,,Male
Karl Bauer,,,Male
Rudolph Bauer,,,Male
Mary Bauermeister,,,Female
Bauhaus,,,
Marilyn Baum,,,Female
Hans Theo Baumann,,,Male
Otto Baumberger,,,Male
Willi Baumeister,,,Male
Lothar Baumgarten,,,Male
Edward Bawden,,,Male
Glen Baxter,,,Male
Iain Baxter&,,,Male
Hippolyte Bayard,,,Male
Herbert Bayer,,,Male
Ed Baynard,,,Male
Thomas Bayrle,,,Male
Douglas Baz,,,Male
Jean Bazaine,,,Male
Castera Bazile,,,Male
William Baziotes,,,Male
Gifford Beal,,,Male
Jack Beal,,,Male
Lester Beall,,,Male
Mark Beard,,,Male
Romare Bearden,,,Male
Aubrey Beardsley,,,Male
Bruce Beasley,,,Male
Beath,,,
Felice Beato,,,Male
Cecil Beaton,,,Male
Leslie Beaton,,,Female
André Beaudin,,,Male
Alessandro Becchi,,,Male
Bernd Becher,,,Male
Thelma Becherer,,,Female
Robert Bechtle,,,Male
Gustav K. Beck,,,Male
A. Becker,,,
Fred Becker,,,Male
Bill Beckley,,,Male
Max Beckmann,,,Male
Francis Bedford,,,Male
René Beeh,,,Male
Jan Bontjes van Beek,,,Male
Chris Hendrik Beekman,,,Male
Max Beerbohm,,,Male
Hedda Beese,,,Female
"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",,,
Peter Behrens,,,Male
Edith Behring,,,Female
John Behringer,,,Male
J. J. Beljon,,,Male
Alistair Macready Bell,,,Male
Charles M. Bell,,,Male
Larry Bell,,,Male
Vanessa Bell,,,Female
William H. Bell,,,Male
Ross Bellah,,,Male
Joseph Bellanca,,,Male
John Bellany,,,Male
Rudolf Belling,,,Male
Mario Bellini,,,Male
Hans Bellmer,,,Male
Ernest J. Bellocq,,,Male
George Bellows,,,Male
Rossella Bellusci,,,Female
Giandomenico Belotti,,,Male
Christian Belpaire,,,Male
Antoli Pawlowitsch Belski,,,Male
David Ben Shaul,,,Male
Ahron Ben-Shmuel,,,Male
Ben-Zion,,,Male
Adolf Benca,,,Male
W. T. Benda,,,Male
C. Whitney Bender,,,
Niels Sylvester Bendtsen,,,Male
Nair Benedicto,,,Female
Luis Fernando Benedit,,,Male
G. A. Beneker,,,Male
Lynda Benglis,,,Female
Billy Al Bengston,,,Male
Jim Bengston,,,Male
Anthony Benjamin,,,Male
Gordon Bennett,,,Male
Henry Hamilton Bennett,,,Male
Ward Bennett,,,Male
David Bentley,,,Male
Nicholas Bentley,,,Male
Thomas Hart Benton,,,Male
Roloff Beny,,,Male
Etienne (Istvan) Béothy,,,Male
Christian Bérard,,,Male
Roberto Berdecio,,,Male
Vera Berdich,,,Female
Ed Bereal,,,Male
Stephen Lynn Berens,,,Male
Berger (?),,,
Charles Berger,,,Male
Jason Berger,,,Male
Hagbard Elis Bergh,,,Male
Håkan Bergkvist,,,Male
Ella Bergmann-Michel,,,Female
Paul Bergtold,,,Male
Henryk Berlewi,,,Male
Eugene Berman,,,Male
Mieczyslaw Berman,,,Male
Sarah Berman,,,Female
Wallace Berman,,,Male
Zeke Berman,,,Male
Cundo Bermúdez,,,Male
José Ygnacio Bermudez,,,Male
Thoni Bern,,,
Camille Bernabé,,,Male
Émile Bernard,,,Male
Francis Bernard,,,Male
Valère Bernard,,,Male
Jerry Berndt,,,Male
Lucian Bernhard,,,Male
Ruth Bernhard,,,Female
Antonio Berni,,,Male
