ConstituentID,DisplayName,Nationality
338,Matthew Rackham Barnes,UNITED STATES OF AMERICA
339,Robert Barnes,UNITED STATES OF AMERICA
342,Will Barnet,UNITED STATES OF AMERICA
343,Tina Barney,UNITED STATES OF AMERICA
344,Hannelore Baron,UNITED STATES OF AMERICA
345,Martin Barooshian,UNITED STATES OF AMERICA
347,Steve Barraclough,United Kingdom
348,Maurice Barraud,Switzerland
349,Susan Barron,UNITED STATES OF AMERICA
350,Thomas F. Barrow,UNITED STATES OF AMERICA
351,David Francis Barry,UNITED STATES OF AMERICA
352,Robert Barry,UNITED STATES OF AMERICA
353,Robert Bart,UNITED STATES OF AMERICA
354,Frances Barth,UNITED STATES OF AMERICA
355,Ruodi Barth,Switzerland
356,"Ralph Bartholomew, Jr.",UNITED STATES OF AMERICA
357,Jennifer Bartlett,UNITED STATES OF AMERICA
358,Robert Bartlett,United Kingdom
359,Carlo Bartoli,Italy
360,Luigi Bartolini,Italy
361,Joseph Bartscherer,UNITED STATES OF AMERICA
362,Gianfranco Baruchello,Italy
363,Hctor Basaldua,Argentina
364,Bernard Baschet,France
365,Franois Baschet,France
366,Georg Baselitz,Germany
368,Mati Basis,Israeli
369,Leonard Baskin,UNITED STATES OF AMERICA
370,Jean-Michel Basquiat,UNITED STATES OF AMERICA
371,Joel Bass,UNITED STATES OF AMERICA
372,Saul Bass,UNITED STATES OF AMERICA
373,Giampiero Bassi,Italy
374,Myriam Bat-Yosef,Germany
375,Georges Bataille,France
377,Josef Bato,Hungarian
378,John Battan,UNITED STATES OF AMERICA
379,Wall Batterton,United Kingdom
380,Dora M. Batty,United Kingdom
381,Eugen Batz,Germany
382,"Harry W. Batz, Jr.",UNITED STATES OF AMERICA
383,Andr Bauchant,France
384,Karl Bauer,Germany
385,Rudolph Bauer,UNITED STATES OF AMERICA
386,Mary Bauermeister,UNITED STATES OF AMERICA
387,Bauhaus,Germany
388,Marilyn Baum,UNITED STATES OF AMERICA
390,Hans Theo Baumann,Germany
391,Otto Baumberger,Switzerland
392,Willi Baumeister,Germany
393,Lothar Baumgarten,Germany
395,Edward Bawden,United Kingdom
396,Glen Baxter,United Kingdom
397,Iain Baxter&,Canada
398,Hippolyte Bayard,France
399,Herbert Bayer,UNITED STATES OF AMERICA
401,Ed Baynard,UNITED STATES OF AMERICA
402,Thomas Bayrle,Germany
403,Douglas Baz,UNITED STATES OF AMERICA
404,Jean Bazaine,France
405,Castera Bazile,Haitian
406,William Baziotes,UNITED STATES OF AMERICA
407,Gifford Beal,UNITED STATES OF AMERICA
408,Jack Beal,UNITED STATES OF AMERICA
409,Lester Beall,UNITED STATES OF AMERICA
411,Mark Beard,UNITED STATES OF AMERICA
412,Romare Bearden,UNITED STATES OF AMERICA
413,Aubrey Beardsley,United Kingdom
414,Bruce Beasley,UNITED STATES OF AMERICA
415,Beath,United Kingdom
416,Felice Beato,Italy
417,Cecil Beaton,United Kingdom
418,Leslie Beaton,UNITED STATES OF AMERICA
420,Andr Beaudin,France
421,Alessandro Becchi,Italy
422,Bernd Becher,Germany
423,Thelma Becherer,UNITED STATES OF AMERICA
424,Robert Bechtle,UNITED STATES OF AMERICA
425,Gustav K. Beck,Austria
426,A. Becker,Germany
427,Fred Becker,UNITED STATES OF AMERICA
428,Bill Beckley,UNITED STATES OF AMERICA
429,Max Beckmann,Germany
430,Francis Bedford,United Kingdom
431,Ren Beeh,Germany
432,Jan Bontjes van Beek,Germany
433,Chris Hendrik Beekman,Netherlands
434,Max Beerbohm,United Kingdom
436,Hedda Beese,Germany
437,"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",United Kingdom
438,Peter Behrens,Germany
439,Edith Behring,Brazil
440,John Behringer,UNITED STATES OF AMERICA
441,J. J. Beljon,Netherlands
442,Alistair Macready Bell,Canada
443,Charles M. Bell,UNITED STATES OF AMERICA
444,Larry Bell,UNITED STATES OF AMERICA
445,Vanessa Bell,United Kingdom
446,William H. Bell,UNITED STATES OF AMERICA
447,Ross Bellah,UNITED STATES OF AMERICA
448,Joseph Bellanca,UNITED STATES OF AMERICA
449,John Bellany,United Kingdom
450,Rudolf Belling,Germany
451,Mario Bellini,Italy
452,Hans Bellmer,Germany
453,Ernest J. Bellocq,UNITED STATES OF AMERICA
455,George Bellows,UNITED STATES OF AMERICA
456,Rossella Bellusci,Italy
457,Giandomenico Belotti,Italy
458,Christian Belpaire,Congolese
459,Antoli Pawlowitsch Belski,Russia
461,David Ben Shaul,Israeli
462,Ahron Ben-Shmuel,UNITED STATES OF AMERICA
463,Ben-Zion,UNITED STATES OF AMERICA
464,Adolf Benca,UNITED STATES OF AMERICA
465,W. T. Benda,UNITED STATES OF AMERICA
466,C. Whitney Bender,UNITED STATES OF AMERICA
467,Niels Sylvester Bendtsen,Denmark
468,Nair Benedicto,Brazil
469,Luis Fernando Benedit,Argentina
470,G. A. Beneker,UNITED STATES OF AMERICA
471,Lynda Benglis,UNITED STATES OF AMERICA
472,Billy Al Bengston,UNITED STATES OF AMERICA
473,Jim Bengston,UNITED STATES OF AMERICA
474,Anthony Benjamin,United Kingdom
475,Gordon Bennett,UNITED STATES OF AMERICA
476,Henry Hamilton Bennett,UNITED STATES OF AMERICA
478,Ward Bennett,UNITED STATES OF AMERICA
481,David Bentley,UNITED STATES OF AMERICA
482,Nicholas Bentley,United Kingdom
483,Thomas Hart Benton,UNITED STATES OF AMERICA
484,Roloff Beny,Canada
485,Etienne (Istvan) Bothy,Hungarian
486,Christian Brard,France
487,Roberto Berdecio,Bolivian
488,Vera Berdich,UNITED STATES OF AMERICA
489,Ed Bereal,UNITED STATES OF AMERICA
490,Stephen Lynn Berens,UNITED STATES OF AMERICA
491,Berger (?),United Kingdom
492,Charles Berger,UNITED STATES OF AMERICA
493,Jason Berger,UNITED STATES OF AMERICA
495,Hagbard Elis Bergh,Swedish
496,Hkan Bergkvist,Swedish
497,Ella Bergmann-Michel,Germany
498,Paul Bergtold,UNITED STATES OF AMERICA
501,Henryk Berlewi,Polish
502,Eugene Berman,UNITED STATES OF AMERICA
503,Mieczyslaw Berman,Polish
504,Sarah Berman,UNITED STATES OF AMERICA
505,Wallace Berman,UNITED STATES OF AMERICA
506,Zeke Berman,UNITED STATES OF AMERICA
507,Cundo Bermdez,Cuba
508,Jos Ygnacio Bermudez,Cuba
509,Thoni Bern,Switzerland
510,Camille Bernab,France
511,mile Bernard,France
512,Francis Bernard,France
513,Valre Bernard,France
514,Jerry Berndt,UNITED STATES OF AMERICA
515,Lucian Bernhard,UNITED STATES OF AMERICA
516,Ruth Bernhard,UNITED STATES OF AMERICA
517,Antonio Berni,Argentina
518,Janez Bernik,Slovenian
519,Judith Bernstein,UNITED STATES OF AMERICA
520,Richard Bernstein,UNITED STATES OF AMERICA
521,Jean Berque,France
522,Miguel Ortiz Berrocal,Spain
523,Bertall & Cie.,France
524,M. Berthaud,France
526,Berthold-Mahn (Charles Dsir),France
527,Ren Bertholo,Portuguese
528,Paul Berthon,France
529,Jake Berthot,UNITED STATES OF AMERICA
530,Gianni Bertini,Italy
531,Harry Bertoia,UNITED STATES OF AMERICA
532,Emilio Bertonati,Italy
533,Albert Besnard,France
534,Forrest Bess,UNITED STATES OF AMERICA
535,Ruth Bessoudo Courvoisier,Brazil
536,Alan Randall Best,Canada
537,William Betsch,UNITED STATES OF AMERICA
538,Pierre Betz,France
539,Wim Beuning,Netherlands
540,Joseph Beuys,Germany
541,Art Bevacqua,Nationality unknown
542,Thomas Bewick,United Kingdom
544,Jyoti Bhatt,Indian
545,Domenico Bianchi,Italy
546,Pamela Bianco,UNITED STATES OF AMERICA
547,Fulvio Bianconi,Italy
548,Carl Bianga,Germany
549,Alberto Biasi,Italy
550,Guido Biasi,Italy
551,Ashley Bickerton,United Kingdom
553,George Biddle,UNITED STATES OF AMERICA
554,Charles Biederman,UNITED STATES OF AMERICA
555,James Biederman,UNITED STATES OF AMERICA
556,Aenne Biermann,Germany
557,Wilson Bigaud,Haitian
559,Max Bill,Switzerland
560,Joseph Binder,UNITED STATES OF AMERICA
561,Ilse Bing,UNITED STATES OF AMERICA
562,Robert J. Bingham,United Kingdom
563,Manfred Bingler,Switzerland
564,Peter Birkhauser,Switzerland
565,Robert Birmelin,UNITED STATES OF AMERICA
566,Werner Bischof,Switzerland
567,Elmer Bischoff,UNITED STATES OF AMERICA
568,Isabel Bishop,UNITED STATES OF AMERICA
569,James Bishop,UNITED STATES OF AMERICA
570,Michael Bishop,UNITED STATES OF AMERICA
571,Maureen Bisilliat,UNITED STATES OF AMERICA
572,Antonio Bisquert Prez,Spain
573,Julius Bissier,Germany
574,Roger Bissire,France
575,George Bissill,United Kingdom
576,Auguste-Rosalie Bisson,France
577,Louis-Auguste Bisson,France
578,Arnold Bittleman,UNITED STATES OF AMERICA
579,Dolores Dembus Bittleman,UNITED STATES OF AMERICA
580,Ion Bitzan,Romanian
581,Judith Black,UNITED STATES OF AMERICA
582,James Wallace Black,UNITED STATES OF AMERICA
583,Roman Black,Nationality unknown
584,Wendell Black,UNITED STATES OF AMERICA
585,Elizabeth Blackadder,United Kingdom
586,Morris Blackburn,UNITED STATES OF AMERICA
587,Tom Blackwell,UNITED STATES OF AMERICA
588,Ronald Bladen,UNITED STATES OF AMERICA
589,Nell Blaine,UNITED STATES OF AMERICA
590,Jean-Charles Blais,France
591,Jeffrey Blake,UNITED STATES OF AMERICA
592,Peter Blake,United Kingdom
593,Camilo Blas (Jos Alfonso Snchez Urteaga),Peruvian
594,Werner Blaser,Switzerland
595,Edwin Howland Blashfield,UNITED STATES OF AMERICA
597,Ross Bleckner,UNITED STATES OF AMERICA
599,Ren Bleibtreu,France
601,Blessum,Nationality unknown
602,Andr Bloc,France
603,Albert Bloch,UNITED STATES OF AMERICA
604,Julius Thiengen Bloch,UNITED STATES OF AMERICA
605,Pierrette Bloch,France
606,Clarence Lincoln Block,UNITED STATES OF AMERICA
607,Gay Block,UNITED STATES OF AMERICA
608,Barbara Bloom,UNITED STATES OF AMERICA
609,Hyman Bloom,UNITED STATES OF AMERICA
610,Vern Blosum,UNITED STATES OF AMERICA
611,Sandra Blow,United Kingdom
612,Oscar Bluemner,UNITED STATES OF AMERICA
613,Norman Bluhm,UNITED STATES OF AMERICA
614,Donald Blumberg,UNITED STATES OF AMERICA
615,Anna Blume,Germany
616,Bernhard Blume,Germany
617,Peter Blume,UNITED STATES OF AMERICA
618,Erwin Blumenfeld,Germany
623,Marcello Boccacci,Italy
624,Umberto Boccioni,Italy
625,Mel Bochner,UNITED STATES OF AMERICA
626,Bengt Bckman,Swedish
627,Peter Bodnar,UNITED STATES OF AMERICA
630,Alighiero Boetti,Italy
631,Marinus Boezem,Netherlands
632,Ricardo Bofill,Spain
633,Arthur Emil Bofinger,Switzerland
634,Jhanna Boga,Icelandic
635,Varujan Boghosian,UNITED STATES OF AMERICA
636,Theodor Bogler,Germany
637,Alexander Bogomazov,Ukrainian
638,Blythe Bohnen,UNITED STATES OF AMERICA
639,Olaf von Bohr,Austria
640,Karl Bohrmann,Germany
641,Bruce Boice,UNITED STATES OF AMERICA
642,Charles Boily,France
643,Frdric Boissonnas,Switzerland
644,Richard Boix,Spain
645,Jakob (Jack) Friedrich Bollschweiler,Germany
646,Roger Bolomey,UNITED STATES OF AMERICA
647,Jay Bolotin,UNITED STATES OF AMERICA
648,Ilya Bolotowsky,UNITED STATES OF AMERICA
649,Christian Boltanski,France
651,David Bomberg,United Kingdom
652,Camille Bombois,France
653,Giorgio Bompadre,Italy
654,Bona,Italy
655,Claus Bonderup,Denmark
656,Emile Bondonneau,France
657,Muirhead Bone,United Kingdom
658,Antonio Bonet,Spain
659,Rodolfo Bonetto,Italy
660,Marcelo Bonevardi,Argentina
661,Felix Bonfils,France
662,Dusti Bong,UNITED STATES OF AMERICA
664,Paolo Boni,Italy
665,Pierre Bonnard,France
666,William Bonnell,UNITED STATES OF AMERICA
668,Maria Bonomi,Brazil
669,Robert Bononno,UNITED STATES OF AMERICA
670,Lee Bontecou,UNITED STATES OF AMERICA
671,Fabio Bonzi,Italy
673,Peter Booth,Australia
674,Osvaldo Borda,Argentina
675,Enrico Bordoni,Italy
676,Paul-mile Borduas,Canada
677,Wendela Boreel,United Kingdom
678,Francisco Bors,Spain
679,Norah Borges de Torre,Argentina
682,Jonathan Borofsky,UNITED STATES OF AMERICA
684,Arnold von Borsig,Germany
685,Elena Borstein,UNITED STATES OF AMERICA
686,Sndor (Alexander) Bortnyik,Hungarian
687,Fritz Boscovits,Switzerland
688,Derek Boshier,United Kingdom
689,Richard Bosman,Australia
690,Michael P. Bosniak,UNITED STATES OF AMERICA
691,Rodolphe-Thophile Bosshard,Switzerland
692,Check  Boterf,UNITED STATES OF AMERICA
693,Fernando Botero,Colombian
694,Dorr Bothwell,UNITED STATES OF AMERICA
696,Mario Botta,Switzerland
697,Kenneth J. Botto,UNITED STATES OF AMERICA
698,douard Boubat,France
699,Ren Robert Bouch,UNITED STATES OF AMERICA
700,Jean Boucher,France
701,Alice Boughton,UNITED STATES OF AMERICA
702,Bouillon,France
703,Firmin Bouisset,France
704,Bart Boumans,Netherlands
705,Christine Boumeester,Netherlands
706,Louis Bouquet,France
707,Harry Bouras,UNITED STATES OF AMERICA
708,mile-Antoine Bourdelle,France
709,Jouineau Bourduge,France
710,Louise Bourgeois,UNITED STATES OF AMERICA
711,Fergus Bourke,Irish
712,Margaret Bourke-White,UNITED STATES OF AMERICA
713,Samuel Bourne,United Kingdom
714,J. Bouski,Polish
715,Jean-Louis Boussingault,France
716,Henri Boutet,France
717,Boutrou,France
718,Lynn Bowers,UNITED STATES OF AMERICA
719,Frank Bowling,United Kingdom
720,Stanley Boxer,UNITED STATES OF AMERICA
721,Fiske Boyd,UNITED STATES OF AMERICA
722,Fionnuala Boyd,United Kingdom
723,James Henderson Boyd,Canada
724,Mark Boyle,United Kingdom
725,James Boynton,UNITED STATES OF AMERICA
726,Paul Brach,UNITED STATES OF AMERICA
727,çngel Bracho,Mexico
728,M. Leone Bracker,UNITED STATES OF AMERICA
729,Su Braden,United Kingdom
730,Martin Bradley,United Kingdom
731,Paul Bradley,UNITED STATES OF AMERICA
732,William Bradley,UNITED STATES OF AMERICA
733,Dove Bradshaw,UNITED STATES OF AMERICA
734,Mathew B. Brady (studio of),UNITED STATES OF AMERICA
736,Joe Brainard,UNITED STATES OF AMERICA
737,Emile Branchard,UNITED STATES OF AMERICA
738,Constantin Brncu_i,France
739,Hans Brand,Germany
740,Bill Brandt,United Kingdom
741,Marianne Brandt,Germany
742,Robert Brandwein,UNITED STATES OF AMERICA
743,Frank Brangwyn,United Kingdom
744,Georges Braque,France
745,Brassa (Gyula Halsz),France
746,John Randall Bratby,United Kingdom
747,Pieter Brattinga,Netherlands
749,Adolphe Braun,France
750,Braun et Compagnie,France
751,Victor Brauner,Romanian
752,Troy Brauntuch,UNITED STATES OF AMERICA
753,Claudio Bravo,Chilean
755,Stipe Br_i_,Croatian
756,George Brecht,UNITED STATES OF AMERICA
757,Charles H. Breed,UNITED STATES OF AMERICA
758,Robert Breer,UNITED STATES OF AMERICA
759,Carl-Arne Breger,Swedish
760,K. P. Brehmer,Germany
761,Raymond Breinin,UNITED STATES OF AMERICA
762,Joseph Breitenbach,UNITED STATES OF AMERICA
763,Bjorn G. Breitholtz,Swedish
764,Uwe Bremer,Germany
766,Miguel Bresciano,Uruguayan
